id,lat,lon
1000001,-28.163,153.5556
1000002,-28.1636,153.5563
1000003,-28.1642,153.5571
1000004,-28.1648,153.5579
1000005,-28.1655,153.5586
1000006,-28.1661,153.5594
1000007,-28.1667,153.5602
1000008,-28.1673,153.561
1000009,-28.1681,153.5617
1000010,-28.1689,153.5622
1000011,-28.1699,153.5622
1000012,-28.1708,153.5619
1000013,-28.1718,153.5618
1000014,-28.1728,153.5618
1000015,-28.1738,153.5619
1000016,-28.1748,153.562
1000017,-28.1758,153.5622
1000018,-28.1768,153.5624
1000019,-28.1777,153.5627
1000020,-28.1787,153.5629
1000021,-28.1797,153.5632
1000022,-28.1806,153.5636
1000023,-28.1815,153.5639
1000024,-28.1825,153.5643
1000025,-28.1834,153.5645
1000026,-28.1843,153.5649
1000027,-28.1853,153.5652
1000028,-28.1862,153.5657
1000029,-28.1871,153.5662
1000030,-28.188,153.5665
1000031,-28.1889,153.567
1000032,-28.1898,153.5675
1000033,-28.1905,153.5681
1000034,-28.1914,153.5686
1000035,-28.1921,153.5693
1000036,-28.1928,153.57
1000037,-28.1933,153.5708
1000038,-28.1941,153.5713
1000039,-28.1947,153.5721
1000040,-28.1955,153.5728
1000041,-28.197,153.5743
1000042,-28.198,153.5742
1000043,-28.199,153.5743
1000044,-28.2,153.5745
1000045,-28.201,153.5746
1000046,-28.202,153.5743
1000047,-28.2028,153.5738
1000048,-28.2037,153.5733
1000049,-28.2047,153.573
1000050,-28.2056,153.5727
1000051,-28.2066,153.5725
1000052,-28.2076,153.5723
1000053,-28.2086,153.5721
1000054,-28.2096,153.572
1000055,-28.2106,153.5719
1000056,-28.2115,153.5717
1000057,-28.2125,153.5716
1000058,-28.2135,153.5715
1000059,-28.2145,153.5714
1000060,-28.2155,153.5714
1000061,-28.2165,153.5713
1000062,-28.2175,153.5713
1000063,-28.2185,153.5714
1000064,-28.2195,153.5714
1000065,-28.2205,153.5713
1000066,-28.2215,153.5713
1000067,-28.2225,153.5713
1000068,-28.2236,153.5712
1000069,-28.224,153.5717
1000070,-28.2251,153.5718
1000071,-28.226,153.5718
1000072,-28.2271,153.5717
1000073,-28.228,153.5719
1000074,-28.229,153.5719
1000075,-28.23,153.572
1000076,-28.231,153.5721
1000077,-28.232,153.5722
1000078,-28.233,153.5723
1000079,-28.234,153.5724
1000080,-28.2349,153.5726
1000081,-28.2359,153.5728
1000082,-28.2369,153.5731
1000083,-28.2377,153.5735
1000084,-28.2387,153.5739
1000085,-28.2397,153.5739
1000086,-28.2406,153.5741
1000087,-28.2416,153.5744
1000088,-28.2425,153.5747
1000089,-28.2435,153.5749
1000090,-28.2444,153.5754
1000091,-28.2453,153.5758
1000092,-28.2462,153.5763
1000093,-28.2471,153.5767
1000094,-28.2477,153.5775
1000095,-28.2484,153.5782
1000096,-28.2488,153.5791
1000097,-28.2491,153.58
1000098,-28.2496,153.5809
1000099,-28.2497,153.5819
1000100,-28.25,153.5829
1000101,-28.2503,153.5838
1000102,-28.2505,153.5848
1000103,-28.2509,153.5857
1000104,-28.2515,153.5865
1000105,-28.2525,153.5864
1000106,-28.2533,153.5863
1000107,-28.2531,153.5872
1000108,-28.2523,153.5879
1000109,-28.2521,153.5888
1000110,-28.2519,153.5897
1000111,-28.2526,153.59
1000112,-28.2523,153.5909
1000113,-28.2527,153.5917
1000114,-28.254,153.5926
1000115,-28.2548,153.5924
1000116,-28.2546,153.5914
1000117,-28.2547,153.5904
1000118,-28.2553,153.5898
